scoreNullable,teamId,hasTeamName,submissionDate,score,hasScore
-3.23968,3343837,True,2019-08-28 23:40:56,-3.23968,True
-3.22349,3251377,True,2019-08-28 23:07:35,-3.22349,True
-3.19498,3228447,True,2019-08-28 22:41:33,-3.19498,True
-3.18085,3248578,True,2019-08-28 23:19:34,-3.18085,True
-3.14969,3315862,True,2019-08-28 23:57:22,-3.14969,True
-3.04456,3235928,True,2019-08-28 11:27:01,-3.04456,True
-3.03280,3232843,True,2019-08-28 22:48:58,-3.03280,True
-3.00189,3229488,True,2019-08-28 22:07:48,-3.00189,True
-2.97389,3229729,True,2019-08-23 13:40:55,-2.97389,True
-2.95233,3234820,True,2019-08-28 23:57:49,-2.95233,True
-2.93612,3285971,True,2019-08-23 09:57:15,-2.93612,True
-2.93335,3556167,True,2019-08-28 23:26:30,-2.93335,True
-2.92387,3228974,True,2019-08-28 23:45:51,-2.92387,True
-2.90753,3273456,True,2019-08-28 20:12:28,-2.90753,True
-2.87509,3308724,True,2019-08-28 23:56:57,-2.87509,True
-2.83985,3229024,True,2019-08-28 19:56:46,-2.83985,True
-2.82768,3331591,True,2019-08-28 16:39:23,-2.82768,True
-2.80943,3493679,True,2019-08-28 23:34:05,-2.80943,True
-2.80799,3332677,True,2019-08-28 21:58:33,-2.80799,True
-2.72796,3251919,True,2019-08-28 19:11:26,-2.72796,True
-2.69159,3259001,True,2019-08-28 22:50:36,-2.69159,True
-2.69031,3228704,True,2019-07-28 11:18:50,-2.69031,True
-2.65035,3375303,True,2019-08-28 20:10:54,-2.65035,True
-2.63267,3295130,True,2019-08-28 17:58:36,-2.63267,True
-2.62886,3370722,True,2019-08-28 23:16:52,-2.62886,True
-2.61108,3470871,True,2019-08-28 23:08:11,-2.61108,True
-2.56751,3434196,True,2019-08-28 23:46:49,-2.56751,True
-2.55696,3239108,True,2019-08-28 23:57:53,-2.55696,True
-2.52766,3231796,True,2019-08-28 23:50:30,-2.52766,True
-2.51427,3235695,True,2019-08-28 22:14:26,-2.51427,True
-2.51254,3229910,True,2019-08-26 07:28:13,-2.51254,True
-2.49837,3227687,True,2019-08-28 19:18:41,-2.49837,True
-2.49283,3456025,True,2019-08-28 23:10:58,-2.49283,True
-2.47922,3250956,True,2019-08-28 12:45:22,-2.47922,True
-2.45881,3338759,True,2019-08-25 18:59:34,-2.45881,True
-2.44817,3245789,True,2019-08-28 22:40:35,-2.44817,True
-2.42699,3237291,True,2019-08-28 23:41:16,-2.42699,True
-2.42329,3232926,True,2019-08-28 23:25:27,-2.42329,True
-2.42042,3337524,True,2019-08-28 23:58:20,-2.42042,True
